Focal plane radial distance at f/69 (m),unapod_272_Lg1,apod_272_Lg1,unapod_272_Lg2,apod_272_Lg2,unapod_272_Sm,apod_272_Sm,unapod_453_Lg1,apod_453_Lg1,unapod_453_Lg2,apod_453_Lg2,unapod_453_Sm,apod_453_Sm
0.000237636,8.121984100687752e-05,1.0715809809553672e-05,6.628676330834194e-05,1.0707993956419865e-05,1.122389701437178e-05,1.4574828303958085e-05,1.9484722320214267e-05,2.14427972089723e-05,1.8467300014521426e-05,1.6124524983053516e-05,1.073727563324946e-05,1.1330986946495673e-05
0.00024086914285714284,4.2104002014018654e-05,7.177269199596062e-06,3.977037741945493e-05,1.0133023471694236e-05,8.211821226047134e-06,1.696478897927644e-05,1.84810483723901e-05,2.6402473155219804e-05,1.545918618543604e-05,1.900455925811939e-05,9.517081470165545e-06,1.1500969069201202e-05
0.00024410228571428573,1.8967267531644834e-05,9.002188159099346e-06,2.0894255397753944e-05,1.373000791618322e-05,6.186670854078055e-06,2.135653068487804e-05,1.8782684609498907e-05,3.279357118436454e-05,1.3928137892276954e-05,2.344684154040028e-05,8.773108290635355e-06,1.3562095261110694e-05
0.00024733542857142857,7.885187649662771e-06,1.3473040097507367e-05,8.918334959231225e-06,1.8621692740693212e-05,5.047866583516737e-06,2.5240571748593344e-05,1.878808689630284e-05,3.757106478590697e-05,1.2945205795034172e-05,2.6332344876830075e-05,8.295391322208544e-06,1.4493740461169996e-05
0.0002505685714285714,8.402617706727975e-06,1.8001902983260955e-05,4.555003953221795e-06,2.2073966958822675e-05,4.793720111610262e-06,2.6000730560275542e-05,1.7832244590720156e-05,4.302232585253216e-05,1.1487728094408304e-05,3.091768335348394e-05,6.98360961598946e-06,1.5676105834374088e-05
0.0002538017142857143,1.9062423742607512e-05,2.4236893304802735e-05,6.75477072137412e-06,2.6855349791307725e-05,4.848303012783859e-06,2.642051355978667e-05,1.6856633877125027e-05,5.014251004209578e-05,1.0885814200865229e-05,3.671931580174711e-05,5.967843946084072e-06,1.759032075505504e-05
0.00025703485714285713,3.625740139141878e-05,3.0199077201737143e-05,1.5417722077576776e-05,3.14063660467744e-05,5.931709183773284e-06,2.6146419586843714e-05,1.702515762392103e-05,5.276882338324732e-05,1.1719733938680363e-05,3.9150329476718914e-05,5.65639826119312e-06,1.802737766948482e-05
0.000260268,5.6753488759349945e-05,3.575923789684819e-05,2.8247163766345224e-05,3.5845023417873726e-05,8.126629264107806e-06,2.6098119175923792e-05,1.771763628327183e-05,5.358818507141167e-05,1.316818830247044e-05,3.933901404976645e-05,6.008003392687366e-06,1.7294077195725382e-05
0.00026350114285714286,7.33767119561216e-05,3.68791610717528e-05,4.180135395378395e-05,3.637711690481434e-05,8.694760279033558e-06,2.1640663896031723e-05,1.7478780161913023e-05,5.236234525502853e-05,1.4531572646496044e-05,4.0460356247234676e-05,5.085403866557157e-06,1.7221787964257285e-05
0.0002667342857142857,9.057594136589986e-05,3.8586627805427585e-05,5.7534436306062014e-05,3.7888741536931516e-05,1.0883033463675503e-05,1.911737262969095e-05,2.0775856481625277e-05,5.2506120878855755e-05,1.8538949224098616e-05,4.099925510983124e-05,6.485363608114808e-06,1.71173464192987e-05
